hhid,cpi_code,cpi_category,total_spend_rwf,province,district,ur,quintile,weight,poverty,total_hh_spend,spend_share_pct
300001.0,03,Clothing and footwear,246000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,362275.0,67.9
300001.0,05,Furnishing and household,26000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,362275.0,7.18
300001.0,06,Health,23000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,362275.0,6.35
300001.0,12,Miscellaneous,29000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,362275.0,8.0
300002.0,03,Clothing and footwear,25000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,32900.0,75.99
300002.0,10,Education,200.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,32900.0,0.61
300003.0,05,Furnishing and household,2000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,60400.0,3.31
300003.0,06,Health,3000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,60400.0,4.97
300003.0,12,Miscellaneous,9000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,60400.0,14.9
300005.0,05,Furnishing and household,26000.0,City of Kigali,Nyarugenge,Urban,Q3,170.95819504509035,Non Poor,43270.0,60.09
300006.0,03,Clothing and footwear,40000.0,City of Kigali,Nyarugenge,Urban,Q4,170.95819504509035,Non Poor,61752.0,64.78
300007.0,04,Housing and utilities,8000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,22230.0,35.99
300007.0,06,Health,6000.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,22230.0,26.99
300008.0,03,Clothing and footwear,14000.0,City of Kigali,Nyarugenge,Urban,Q4,170.95819504509035,Non Poor,92800.0,15.09
300008.0,06,Health,45000.0,City of Kigali,Nyarugenge,Urban,Q4,170.95819504509035,Non Poor,92800.0,48.49
300010.0,03,Clothing and footwear,20000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,59250.0,33.76
300010.0,09,Recreation and culture,5000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,59250.0,8.44
300010.0,12,Miscellaneous,12000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,59250.0,20.25
300011.0,03,Clothing and footwear,70000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,163606.0,42.79
300012.0,06,Health,285000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,437501.0,65.14
300012.0,07,Transport,48000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,437501.0,10.97
300012.0,08,Communication,30000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,437501.0,6.86
300013.0,03,Clothing and footwear,1000.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,194305.76,0.51
